Año,Trimestre,Provincia,+ 30 Mbps,OTROS,Total,hasta 1 mbps,1 mbps - 10 mbps,10 Mbps - 30 Mbps,indice
2019,1,Corrientes,5029,0.0,101659,747,64964,25186,366
2019,1,Entre Ríos,7619,12142.0,233180,9397,157081,47103,367
2019,1,Formosa,1654,0.0,45299,3134,28386,11126,368
2019,1,Jujuy,1141,37162.0,83736,3087,38538,4321,369
2019,1,La Pampa,405,6980.0,87085,10687,75004,2415,370
2019,1,La Rioja,869,0.0,51653,1259,44373,5386,371
2019,1,Mendoza,140,0.0,215979,1986,208220,6812,372
2019,1,Misiones,5167,7654.0,125633,6416,47855,35663,373
2019,1,Neuquén,11026,6105.0,114242,4383,54141,38587,374
2019,1,Río Negro,5076,3719.0,120826,5423,86882,23182,375
2019,1,Salta,2242,10.0,136012,4722,95717,13152,376
2019,1,San Juan,2,5600.0,63982,2510,65040,5230,377
2019,1,San Luis,2,23577.0,98701,1770,74594,3510,378
2019,1,Santa Cruz,4,0.0,25606,1530,24721,7280,379
2019,1,Santa Fe,36502,18591.0,732320,6265,419757,227787,380
2019,1,Santiago Del Estero,494,0.0,91535,3762,83586,4809,381
2019,1,Tierra Del Fuego,29,0.0,43361,1370,42474,7210,382
2019,1,Tucumán,14839,0.0,172217,5348,125117,11091,383
2018,4,Buenos Aires,265386,19125.0,3636606,208434,1616889,1526772,384
2018,4,Capital Federal,186810,0.0,1389020,8128,426590,768158,385
2018,4,Catamarca,7,2003.0,33583,2009,24380,5751,386
2018,4,Chaco,6368,0.0,103270,4095,62070,31358,387
2018,4,Chubut,165,1144.0,78722,4577,72276,11540,388
2018,4,Córdoba,48809,8903.0,737339,24912,325752,329692,389
2018,4,Corrientes,5029,0.0,100601,6538,63938,25186,390
2018,4,Entre Ríos,7612,13693.0,222047,8949,144807,47148,391
2018,4,Formosa,1654,0.0,45204,3185,28247,11119,392
2018,4,Jujuy,1141,43573.0,90133,3073,38538,4321,393
2018,4,La Pampa,270,9230.0,85636,10137,74169,11108,394
2018,4,La Rioja,869,30.0,51651,1254,44373,5386,395
2018,4,Mendoza,132,0.0,206304,1663,199944,4916,396
2018,4,Misiones,5167,0.0,116273,6451,69286,35792,397
2018,4,Neuquén,11025,6287.0,114365,4372,54094,38587,398
2018,4,Río Negro,5070,3094.0,116837,5065,89842,10913,399
2018,4,Salta,2242,0.0,134578,4149,94857,13152,400
2018,4,San Juan,1,6060.0,62398,1685,61611,3130,401
2018,4,San Luis,2,23635.0,96331,1660,72347,1810,402
2018,4,Santa Cruz,4,5310.0,24768,1400,30897,2070,403
2018,4,Santa Fe,36427,2845.0,720390,34747,397310,226471,404
2018,4,Santiago Del Estero,483,3260.0,89335,715,81474,4456,405
2018,4,Tierra Del Fuego,67,0.0,46260,330,36242,10134,406
2018,4,Tucumán,14839,920.0,172004,5404,124855,34581,407
